RCL - Rows Computed Locally 
OCS - Owner Cells Strategy 

   STRATEGY     NPARTS     NCELLS         LS CartDisMod(s)  FESpaces(s)   AffFEOp(s)    Solve(s)    L2Norm(s)
        OCS        432    7077888        128 5.534022e-02 6.986058e-01 6.357723e-02 3.155558e-01 1.824475e-02
        OCS        768   12582912        128 5.991171e-02 9.299390e-01 7.508280e-02 3.604133e-01 1.872231e-02
        OCS       1200   19660800        128 6.769297e-02 8.996616e-01 8.160954e-02 4.222174e-01 1.824007e-02
        OCS       1728   28311552        128 6.835610e-02 8.883352e-01 8.520585e-02 4.705762e-01 1.843540e-02
        OCS       2352   38535168        128 7.735263e-02 9.041804e-01 1.072094e-01 5.425445e-01 1.804364e-02
        OCS       3072   50331648        128 7.624865e-02 9.571168e-01 1.877066e-01 6.125225e-01 1.803249e-02
        OCS       3888   63700992        128 8.712394e-02 9.442383e-01 1.054896e-01 6.992555e-01 1.814027e-02
        OCS       4800   78643200        128 9.297212e-02 9.642594e-01 2.071536e-01 7.990553e-01 1.802747e-02
        OCS       5808   95158272        128 1.055219e-01 9.987992e-01 2.642274e-01 9.192649e-01 1.807537e-02
        OCS       6912  113246208        128 1.326824e-01 1.113993e+00 3.953032e-01 2.074897e+00 1.801560e-02
        OCS       8112  132907008        128 1.515688e-01 1.189232e+00 4.463610e-01 2.838702e+00 1.810818e-02
        OCS       9408  154140672        128 1.632256e-01 1.295364e+00 4.133498e-01 3.151930e+00 1.808237e-02
        OCS      10800  176947200        128 1.873293e-01 1.298013e+00 4.855817e-01 3.743573e+00 1.826609e-02
   STRATEGY     NPARTS     NCELLS         LS CartDisMod(s)  FESpaces(s)   AffFEOp(s)    Solve(s)    L2Norm(s)
        RCL         48    3145728        256 2.233230e-01 1.961080e+00 3.167328e-01 1.327901e+00 7.458037e-02
        RCL        192   12582912        256 2.416045e-01 2.007960e+00 3.239522e-01 1.416345e+00 7.232591e-02
        RCL        432   28311552        256 2.740186e-01 2.032103e+00 3.296676e-01 1.583616e+00 7.259072e-02
        RCL        768   50331648        256 2.942749e-01 2.160176e+00 4.248689e-01 1.633055e+00 7.424045e-02
        RCL       1200   78643200        256 3.175343e-01 2.192371e+00 4.292339e-01 1.756105e+00 7.438028e-02
        RCL       1728  113246208        256 3.296782e-01 2.221207e+00 4.466451e-01 1.813743e+00 7.456874e-02
        RCL       2352  154140672        256 3.223498e-01 2.288809e+00 4.453199e-01 2.003087e+00 7.468062e-02
        RCL       3072  201326592        256 3.347930e-01 2.273638e+00 4.680437e-01 2.076640e+00 7.456081e-02
        RCL       3888  254803968        256 3.471831e-01 2.310026e+00 4.642946e-01 2.214115e+00 7.443275e-02
        RCL       4800  314572800        256 3.639876e-01 2.357647e+00 4.446614e-01 2.326622e+00 7.418040e-02
        RCL       5808  380633088        256 3.534050e-01 2.464543e+00 4.633389e-01 2.527719e+00 7.439686e-02
        RCL       6912  452984832        256 3.865731e-01 2.554133e+00 4.880322e-01 3.994243e+00 7.482278e-02
        RCL       8112  531628032        256 3.979792e-01 2.696248e+00 5.030013e-01 4.312339e+00 7.462322e-02
        RCL       9408  616562688        256 4.241020e-01 2.806368e+00 5.125701e-01 4.859106e+00 7.448138e-02
        RCL      10800  707788800        256 4.312605e-01 2.719029e+00 5.234488e-01 5.621615e+00 7.453165e-02
   STRATEGY     NPARTS     NCELLS         LS CartDisMod(s)  FESpaces(s)   AffFEOp(s)    Solve(s)    L2Norm(s)
        OCS         48    3145728        256 2.128695e-01 1.972437e+00 2.076615e-01 1.334990e+00 7.575894e-02
        OCS        192   12582912        256 2.155907e-01 2.151831e+00 2.170899e-01 1.416874e+00 7.546373e-02
        OCS        432   28311552        256 2.236354e-01 2.136127e+00 2.212764e-01 1.585311e+00 7.556272e-02
        OCS        768   50331648        256 2.354180e-01 2.355360e+00 2.259339e-01 1.622550e+00 7.539316e-02
        OCS       1200   78643200        256 2.823015e-01 2.400953e+00 2.311351e-01 1.741711e+00 7.412100e-02
        OCS       1728  113246208        256 2.890793e-01 2.422692e+00 2.385232e-01 1.810554e+00 7.341972e-02
        OCS       2352  154140672        256 2.865150e-01 2.385386e+00 2.443376e-01 2.006326e+00 7.251727e-02
        OCS       3072  201326592        256 2.590213e-01 2.511743e+00 2.515115e-01 2.059033e+00 7.247670e-02
        OCS       3888  254803968        256 3.029159e-01 2.451288e+00 2.594102e-01 2.195117e+00 7.194997e-02
        OCS       4800  314572800        256 3.120370e-01 2.514602e+00 2.698819e-01 2.302430e+00 7.160536e-02
        OCS       5808  380633088        256 3.231528e-01 2.482847e+00 2.821527e-01 2.505424e+00 7.152811e-02
        OCS       6912  452984832        256 3.168550e-01 2.738179e+00 3.959246e-01 3.961970e+00 7.168334e-02
        OCS       8112  531628032        256 3.583849e-01 2.733728e+00 4.332235e-01 4.241033e+00 7.135211e-02
        OCS       9408  616562688        256 3.698080e-01 2.909730e+00 4.649283e-01 4.789664e+00 7.120022e-02
        OCS      10800  707788800        256 3.546285e-01 2.874565e+00 5.035514e-01 5.573727e+00 7.111543e-02
   STRATEGY     NPARTS     NCELLS         LS CartDisMod(s)  FESpaces(s)   AffFEOp(s)    Solve(s)    L2Norm(s)
        RCL         48   12582912        512 8.348586e-01 6.819791e+00 1.350193e+00 6.111529e+00 3.952295e-01
